#	Country,Other	Cases in the last 7 days	Cases in the preceding 7 days	Weekly case /%/ change	Cases in the last 7 days/1M pop	Deaths in the last 7 days	Deaths in the preceding 7 days	Weekly Death /%/ change	Deaths in the last 7 days/1M pop	Population	Continent
1	France	1,700,298	2,365,641	-28%	25,957	1,923	1,954	-2%	29	65,504,333	Europe
2	USA	1,675,608	3,398,256	-51%	5,015	15,094	17,183	-12%	45	334,104,170	North America
3	Germany	1,283,225	1,059,503	+21%	15,238	986	1,026	-4%	12	84,212,064	Europe
4	Brazil	1,185,108	1,307,052	-9%	5,513	5,366	3,778	+42%	25	214,973,669	South America
5	Russia	1,073,111	628,816	+71%	7,348	4,686	4,616	+2%	32	146,034,468	Europe
6	India	969,574	1,759,112	-45%	692	7,855	5,154	+52%	6	1,401,680,124	Asia
7	Turkey	711,880	579,492	+23%	8,298	1,500	1,265	+19%	17	85,788,865	Asia
8	Italy	696,335	977,375	-29%	11,544	2,555	2,513	+2%	42	60,319,735	Europe
9	Japan	623,128	463,354	+34%	4,951	528	239	+121%	4	125,857,649	Asia
10	UK	580,210	630,977	-8%	8,476	1,713	1,852	-8%	25	68,455,848	Europe
11	Netherlands	571,784	430,588	+33%	33,252	60	53	+13%	3	17,195,461	Europe
12	Spain	374,107	721,466	-48%	7,997	1,097	1,229	-11%	23	46,783,720	Europe
13	Israel	366,387	443,613	-17%	39,287	455	255	+78%	49	9,326,000	Asia
14	Poland	311,106	334,459	-7%	8,235	1,436	1,317	+9%	38	37,780,363	Europe
15	Portugal	304,085	390,061	-22%	29,962	366	287	+28%	36	10,149,191	Europe
16	Denmark	273,916	296,498	-8%	47,026	143	130	+10%	25	5,824,798	Europe
17	Argentina	254,695	472,648	-46%	5,554	1,696	1,820	-7%	37	45,858,367	South America
18	Czechia	244,404	237,955	+3%	22,755	252	145	+74%	23	10,740,731	Europe
19	Ukraine	241,590	185,014	+31%	5,578	1,152	910	+27%	27	43,313,820	Europe
20	Iran	235,087	93,689	+151%	2,743	406	194	+109%	5	85,710,180	Asia
21	Chile	232,093	174,347	+33%	11,977	303	172	+76%	16	19,378,372	South America
22	Austria	228,761	228,126	+0.3%	25,170	141	100	+41%	16	9,088,513	Europe
23	Mexico	225,148	269,186	-16%	1,717	3,655	2,677	+37%	28	131,096,820	North America
24	Australia	218,024	312,735	-30%	8,394	485	613	-21%	19	25,972,513	Australia/Oceania
25	Romania	205,427	179,265	+15%	10,793	638	438	+46%	34	19,032,577	Europe
26	Belgium	201,726	345,059	-42%	17,286	235	191	+23%	20	11,670,224	Europe
27	S. Korea	181,051	94,735	+91%	3,527	141	192	-27%	3	51,339,700	Asia
28	Indonesia	173,295	56,807	+205%	623	251	83	+202%	0.9	278,144,234	Asia
29	Georgia	151,830	111,328	+36%	38,178	267	244	+9%	67	3,976,929	Asia
30	Switzerland	148,830	247,913	-40%	16,998	51	93	-45%	6	8,755,750	Europe
31	Peru	139,083	278,255	-50%	4,126	1,479	1,182	+25%	44	33,705,451	South America
32	Sweden	128,603	265,088	-51%	12,608	87	196	-56%	9	10,199,889	Europe
33	Norway	128,499	142,465	-10%	23,410	8	28	-71%	1	5,488,972	Europe
34	Greece	126,857	127,681	-0.6%	12,267	722	737	-2%	70	10,341,682	Europe
35	Jordan	121,024	68,035	+78%	11,676	127	120	+6%	12	10,364,956	Asia
36	Slovakia	116,710	82,426	+42%	21,360	141	174	-19%	26	5,463,868	Europe
37	Hungary	108,488	106,901	+1%	11,276	512	407	+26%	53	9,621,147	Europe
38	Serbia	105,897	117,546	-10%	12,199	421	299	+41%	48	8,681,121	Europe
39	Colombia	94,729	131,798	-28%	1,831	1,678	1,839	-9%	32	51,749,299	South America
40	Slovenia	92,242	98,580	-6%	44,360	118	84	+40%	57	2,079,395	Europe
41	Canada	83,270	108,745	-23%	2,176	1,000	1,125	-11%	26	38,270,858	North America
42	Vietnam	78,918	106,220	-26%	799	656	949	-31%	7	98,737,845	Asia
43	Bangladesh	76,200	100,196	-24%	455	226	140	+61%	1	167,310,650	Asia
44	Lithuania	76,023	64,857	+17%	28,563	128	100	+28%	48	2,661,578	Europe
45	Uruguay	64,601	72,446	-11%	18,495	178	151	+18%	51	3,492,968	South America
46	Thailand	64,467	55,034	+17%	920	134	125	+7%	2	70,079,878	Asia
47	Philippines	63,896	128,538	-50%	571	635	419	+52%	6	111,910,688	Asia
48	Latvia	61,116	53,448	+14%	32,985	83	73	+14%	45	1,852,867	Europe
49	Lebanon	56,845	49,700	+14%	8,388	121	103	+17%	18	6,776,593	Asia
50	Bulgaria	53,622	61,586	-13%	7,811	610	496	+23%	89	6,864,843	Europe
51	Bahrain	52,314	38,146	+37%	29,130	4	8	-50%	2	1,795,894	Asia
52	Singapore	49,493	34,558	+43%	8,355	17	6	+183%	3	5,923,856	Asia
53	Estonia	48,367	41,153	+18%	36,422	26	28	-7%	20	1,327,961	Europe
54	Malaysia	48,236	33,039	+46%	1,460	69	73	-5%	2	33,028,384	Asia
55	Croatia	48,058	58,662	-18%	11,823	360	370	-3%	89	4,064,804	Europe
56	Palestine	46,808	28,597	+64%	8,847	68	42	+62%	13	5,290,691	Asia
57	Réunion	45,474	46,914	-3%	50,219	31	38	-18%	34	905,521	Africa
58	Kazakhstan	44,957	79,656	-44%	2,349	130	92	+41%	7	19,135,477	Asia
59	Iraq	44,834	49,128	-9%	1,076	140	89	+57%	3	41,663,189	Asia
60	Azerbaijan	42,370	22,553	+88%	4,120	151	110	+37%	15	10,285,187	Asia
61	Pakistan	41,782	50,386	-17%	183	230	151	+52%	1	227,740,176	Asia
62	Finland	39,461	48,605	-19%	7,104	116	127	-9%	21	5,554,476	Europe
63	Kuwait	39,165	42,200	-7%	8,959	14	10	+40%	3	4,371,440	Asia
64	Tunisia	36,936	53,334	-31%	3,074	408	272	+50%	34	12,016,182	Africa
65	Ecuador	36,638	48,378	-24%	2,027	216	185	+17%	12	18,070,918	South America
66	Belarus	36,403	14,128	+158%	3,854	108	106	+2%	11	9,444,356	Europe
67	Paraguay	31,138	39,832	-22%	4,282	345	290	+19%	47	7,272,489	South America
68	Panama	30,289	52,441	-42%	6,848	128	118	+8%	29	4,423,239	North America
69	Costa Rica	30,046	38,796	-23%	5,813	86	85	+1%	17	5,168,437	North America
70	Ireland	26,778	33,168	-19%	5,328	92	49	+88%	18	5,025,898	Europe
71	Moldova	26,573	31,301	-15%	6,612	126	120	+5%	31	4,018,979	Europe
72	Saudi Arabia	25,844	30,699	-16%	724	18	16	+13%	0.5	35,679,734	Asia
73	Libya	24,881	19,812	+26%	3,544	60	86	-30%	9	7,020,533	Africa
74	Armenia	23,524	14,722	+60%	7,915	40	18	+122%	13	2,972,094	Asia
75	Bolivia	21,552	39,969	-46%	1,807	238	283	-16%	20	11,927,347	South America
76	Guatemala	21,467	19,779	+9%	1,164	122	111	+10%	7	18,444,714	North America
77	Cyprus	20,284	14,277	+42%	16,607	14	19	-26%	11	1,221,402	Asia
78	South Africa	20,106	22,497	-11%	332	813	845	-4%	13	60,503,129	Africa
79	Nepal	15,964	40,047	-60%	533	79	80	-1%	3	29,973,581	Asia
80	Egypt	15,963	13,590	+17%	151	332	236	+41%	3	105,416,079	Africa
81	Morocco	15,848	32,982	-52%	421	231	230	+0%	6	37,609,421	Africa
82	Oman	15,727	14,022	+12%	2,960	29	15	+93%	5	5,313,880	Asia
83	UAE	14,627	17,331	-16%	1,451	24	26	-8%	2	10,081,287	Asia
84	Maldives	14,211	18,665	-24%	25,571	8	5	+60%	14	555,746	Asia
85	Luxembourg	12,523	15,865	-21%	19,499	10	5	+100%	16	642,241	Europe
86	Venezuela	12,262	14,455	-15%	433	47	35	+34%	2	28,307,169	South America
87	Cuba	10,889	20,559	-47%	962	42	34	+24%	4	11,315,567	North America
88	North Macedonia	9,991	11,910	-16%	4,796	195	165	+18%	94	2,083,237	Europe
89	Martinique	9,983	11,620	-14%	26,636	15	13	+15%	40	374,800	North America
90	Guadeloupe	8,647	10,554	-18%	21,605	22	11	+100%	55	400,233	North America
91	Dominican Republic	8,561	14,472	-41%	777	20	18	+11%	2	11,021,701	North America
92	Sri Lanka	8,417	8,217	+2%	390	175	121	+45%	8	21,556,723	Asia
93	Qatar	7,985	14,293	-44%	2,844	7	11	-36%	2	2,807,805	Asia
94	Bosnia and Herzegovina	7,674	13,520	-43%	2,363	303	343	-12%	93	3,248,202	Europe
95	Algeria	7,202	14,104	-49%	160	80	71	+13%	2	45,115,385	Africa
96	New Caledonia	7,137	3,448	+107%	24,620	1	1	0%	3	289,883	Australia/Oceania
97	Uzbekistan	6,877	8,152	-16%	201	23	21	+10%	0.7	34,243,909	Asia
98	Iceland	6,673	9,599	-30%	19,354	3	2	+50%	9	344,782	Europe
99	Albania	6,603	9,951	-34%	2,298	38	37	+3%	13	2,872,775	Europe
100	Mongolia	6,485	15,925	-59%	1,929	17	13	+31%	5	3,362,598	Asia
101	Honduras	5,674	2,738	+107%	559	44	22	+100%	4	10,156,178	North America
102	Botswana	5,295	6,800	-22%	2,181	5	36	-86%	2	2,427,430	Africa
103	Faeroe Islands	4,907	4,759	+3%	99,817	2	1	+100%	41	49,160	Europe
104	Barbados	4,246	4,781	-11%	14,746	7	4	+75%	24	287,937	North America
105	Afghanistan	4,176	2,429	+72%	104	26	15	+73%	0.6	40,327,717	Asia
106	Montenegro	4,159	6,163	-33%	6,621	46	42	+10%	73	628,193	Europe
107	Trinidad and Tobago	4,080	4,773	-15%	2,900	65	93	-30%	46	1,406,730	North America
108	Belize	3,057	4,734	-35%	7,472	4	9	-56%	10	409,154	North America
109	Laos	2,914	3,571	-18%	391	25	18	+39%	3	7,444,178	Asia
110	Channel Islands	2,792	2,715	+3%	15,826	5	4	+25%	28	176,423	Europe
111	Myanmar	2,647	1,183	+124%	48	0	0	0%	0	54,992,622	Asia
112	Cameroon	2,605	0	+260,500%	94	13	0	+1%	0.5	27,600,392	Africa
113	Zambia	2,284	3,292	-31%	119	15	20	-25%	0.8	19,205,402	Africa
114	Suriname	2,240	3,421	-35%	3,765	19	23	-17%	32	595,030	South America
115	Cayman Islands	2,146	2,122	+1%	32,051	0	0	0%	0	66,955	North America
116	Madagascar	2,115	1,944	+9%	73	33	51	-35%	1	28,827,009	Africa
117	Solomon Islands	1,999	894	+124%	2,801	24	9	+167%	34	713,766	Australia/Oceania
118	Jamaica	1,891	4,537	-58%	634	44	56	-21%	15	2,981,821	North America
119	Guyana	1,797	2,576	-30%	2,267	15	32	-53%	19	792,617	South America
120	Sudan	1,768	3,147	-44%	39	148	36	+311%	3	45,483,322	Africa
121	Ethiopia	1,609	2,823	-43%	13	32	87	-63%	0.3	119,508,124	Africa
122	New Zealand	1,487	736	+102%	297	1	0	+100%	0.2	5,002,100	Australia/Oceania
123	French Polynesia	1,477	574	+157%	5,210	0	0	0%	0	283,503	Australia/Oceania
124	Malta	1,452	1,679	-14%	3,275	22	15	+47%	50	443,422	Europe
125	Bhutan	1,407	1,036	+36%	1,792	0	1	-100%	0	785,181	Asia
126	Kyrgyzstan	1,325	2,717	-51%	198	26	27	-4%	4	6,696,084	Asia
127	Hong Kong	1,303	819	+59%	172	0	0	0%	0	7,594,161	Asia
128	French Guiana	1,267	2,423	-48%	4,073	12	12	0%	39	311,036	South America
129	Seychelles	1,212	2,192	-45%	12,203	5	6	-17%	50	99,320	Africa
130	Kiribati	1,179	305	+287%	9,634	0	0	0%	0	122,376	Australia/Oceania
131	San Marino	1,098	320	+243%	32,251	1	1	0%	29	34,045	Europe
132	Palau	1,078	976	+10%	59,127	0	0	0%	0	18,232	Australia/Oceania
133	Andorra	1,043	2,531	-59%	13,464	2	1	+100%	26	77,463	Europe
134	Brunei	991	281	+253%	2,231	0	0	0%	0	444,171	Asia
135	El Salvador	954	5,806	-84%	146	51	36	+42%	8	6,538,502	North America
136	Zimbabwe	942	1,206	-22%	62	25	43	-42%	2	15,208,483	Africa
137	Haiti	840	404	+108%	72	20	1	+1%	2	11,624,569	North America
138	Liechtenstein	818	933	-12%	21,356	1	0	+100%	26	38,303	Europe
139	Gibraltar	793	1,011	-22%	23,549	1	0	+100%	30	33,675	Europe
140	Kenya	761	1,106	-31%	14	41	26	+58%	0.7	55,661,920	Africa
141	Fiji	754	872	-14%	831	13	30	-57%	14	906,824	Australia/Oceania
142	Ghana	736	1,309	-44%	23	19	26	-27%	0.6	32,108,370	Africa
143	Curaçao	724	1,072	-32%	4,383	17	13	+31%	103	165,165	North America
144	Nigeria	704	836	-16%	3	4	11	-64%	0.0	214,293,255	Africa
145	Dominica	690	515	+34%	9,547	0	2	-100%	0	72,272	North America
146	Somalia	679	1,066	-36%	41	0	0	0%	0	16,600,677	Africa
147	Saint Lucia	604	1,229	-51%	3,265	15	10	+50%	81	184,968	North America
148	Uganda	580	1,341	-57%	12	30	53	-43%	0.6	48,045,131	Africa
149	Syria	574	356	+61%	32	22	18	+22%	1	18,179,145	Asia
150	Grenada	551	1,008	-45%	4,861	1	5	-80%	9	113,356	North America
151	Namibia	531	585	-9%	203	13	53	-75%	5	2,614,379	Africa
152	Mozambique	528	1,215	-57%	16	13	13	0%	0.4	32,652,551	Africa
153	Gabon	525	813	-35%	227	1	1	0%	0.4	2,309,555	Africa
154	Papua New Guinea	524	339	+55%	57	0	0	0%	0	9,217,619	Australia/Oceania
155	DRC	512	715	-28%	5	0	0	0%	0	93,904,857	Africa
156	Mauritius	484	941	-49%	380	0	0	0%	0	1,275,141	Africa
157	Cambodia	474	273	+74%	28	0	0	0%	0	17,088,530	Asia
158	Timor-Leste	466	69	+575%	343	0	0	0%	0	1,358,538	Asia
159	Monaco	462	725	-36%	11,641	1	1	0%	25	39,687	Europe
160	Taiwan	408	410	-0.5%	17	0	0	0%	0	23,885,665	Asia
161	Malawi	393	597	-34%	20	13	35	-63%	0.7	19,918,770	Africa
162	Isle of Man	380	605	-37%	4,431	3	0	+300%	35	85,752	Europe
163	Bermuda	369	786	-53%	5,960	2	4	-50%	32	61,910	North America
164	Aruba	346	634	-45%	3,219	2	2	0%	19	107,490	North America
165	China	325	412	-21%	0.2	0	0	0%	0	1,448,205,686	Asia
166	Tanzania	310	527	-41%	5	11	25	-56%	0.2	62,448,728	Africa
167	Rwanda	300	832	-64%	22	8	6	+33%	0.6	13,464,607	Africa
168	Angola	288	1,494	-81%	8	1	7	-86%	0.0	34,497,050	Africa
169	Senegal	270	641	-58%	15	12	19	-37%	0.7	17,448,007	Africa
170	Bahamas	261	444	-41%	654	7	17	-59%	18	399,247	North America
171	Mauritania	260	814	-68%	54	14	26	-46%	3	4,844,679	Africa
172	Caribbean Netherlands	252	538	-53%	9,469	2	0	+200%	75	26,612	North America
173	Guinea	249	117	+113%	18	12	2	+500%	0.9	13,701,179	Africa
174	Yemen	247	434	-43%	8	17	16	+6%	0.6	30,874,517	Asia
175	Burundi	229	399	-43%	18	0	0	0%	0	12,455,734	Africa
