Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
USA,27-02-2022,"80,614,425","+33,032","974,440  ",+562,"53,221,683","+173,485","26,418,302","8,279","241,201","2,916","949,062,252","2,839,628","334,220,623 ",North America
India,27-02-2022,"42,924,130","+8,013","513,843 ",+87,"42,307,686","+16,765","102,601","8,944","30,606",366,"766,757,518","546,710","1,402,495,010 ",Asia
Brazil,27-02-2022,"28,768,104","+24,054","649,195 ",+206,"26,183,623","+101,112","1,935,286","8,318","133,765","3,019","63,776,166","296,545","215,064,353 ",South America
France,27-02-2022,"22,689,332","+42,600","138,135 ",+76,"20,666,313","+45,900","1,884,884","2,484","346,333","2,109","246,629,975","3,764,597","65,512,990 ",Europe
UK,27-02-2022,"18,859,389","+27,312","161,315 ",+46,"17,350,941","+98,844","1,347,133",289,"275,411","2,356","480,341,745","7,014,619","68,477,240 ",Europe
Russia,27-02-2022,"16,291,116","+116,093","350,927 ",+769,"13,458,910","+137,596","2,481,279","2,300","111,554","2,403","273,400,000","1,872,113","146,038,217 ",Europe
Germany,27-02-2022,"14,728,752","+95,241","123,328 ",+45,"10,842,300","+83,800","3,763,124","2,494","174,867","1,464","104,701,826","1,243,074","84,228,125 ", Europe
Turkey,27-02-2022,"14,025,181","+49,792","94,232 ",+206,"13,289,352","+69,845","641,597","1,128","163,381","1,098","143,400,825","1,670,494","85,843,385 ",Asia
Italy,27-02-2022,"12,764,855","+30,926","154,560 ",+144,"11,487,720","+50,014","1,122,575",733,"211,639","2,563","187,137,866","3,102,706","60,314,412 ",Europe
Spain,27-02-2022,"10,977,524",,"99,410 ",,"9,181,728",,"1,696,386","1,053","234,639","2,125","471,036,328","10,068,148","46,784,805 ",Europe
Argentina,27-02-2022,"8,897,178","+3,610","126,120 ",+72,"8,670,946","+12,878","100,112","1,156","193,909","2,749","34,235,204","746,137","45,883,272 ",South America
Iran,27-02-2022,"7,040,467","+9,524","136,631 ",+241,"6,634,126","+17,493","269,710","4,049","82,081","1,593","46,780,865"," 545,392","85,774,800 ",Asia
Netherlands,27-02-2022,"6,332,772","+27,383","21,548 ",+3,"4,284,149","+83,108","2,027,075",174,"368,233","1,253","21,107,399","1,227,336","17,197,734 ",Europe
Colombia,27-02-2022,"6,062,701","+1,908","138,693  ",+95,"5,888,474","+2,409","35,534",342,"117,082","2,678","33,165,748","640,489","51,781,879 ",South America
Poland,27-02-2022,"5,660,490","+8,899","111,316 ",+40,"5,039,109","+7,572","510,065",872,"149,836","2,947","33,587,230","889,071","37,777,881 ",Europe
Indonesia,27-02-2022,"5,539,394","+34,976","148,073 ",+229,"4,817,423","+39,384","573,898","2,911","19,903",532,"84,371,793","303,149","278,317,985 ",Asia
Mexico,27-02-2022,"5,502,586","+13,459","318,014 ",+331,"4,764,651","+14,314","419,921","4,798","41,947","2,424","15,074,996","114,920","131,178,195 ",North America
Japan,27-02-2022,"4,886,946","+71,254","23,270 ",+259,"4,114,425","+76,751","749,251","1,482","38,836",185,"38,717,172","307,683","125,834,478 ",Asia
Ukraine,27-02-2022,"4,809,624",,"105,505 ",,"4,058,020",,"646,099",177,"111,082","2,437","19,521,252","450,857","43,298,110 ",Europe
